id;nombre_empleado;apellido_empleado;telefono;correo
1;excepting ack;victoriously;per phooey;stack hunt
2;when;scoff unlike;ah;honored
3;next;that kookily;cheetah;malfunction rowdy
4;blah;quick considering;since design;aha however inferior
5;before wetly before;orientate;backburn rarely;wiggly row pomelo
6;promptly;doubtfully;cheap;fatherly
7;owlishly cleave;aw phooey;although collaborate crocodile;sheepishly lest whopping
8;whether;opposite qua intently;whether consequently;hopelessly
9;moist drat;beyond gee scaly;coolly an;lid careless
10;willfully carouse how;by request;wry plus;airline or
